strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note,token_return_fraction,best_strategy,best_asset,versus_best_usd,single_vault_strategy,single_vault_status,versus_single_vault_usd
hold-USD,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,9986.63631,9986.63631,9997.566075183524558702835,-0.0002433924816475441297165,0,0,9997.566075183524558702835,[],,0,cash-USD,cash,-2.433924816475441297165,yearn-usdc-v2,complete,58.5116404182160568130805
hold-USD,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,9986.63631,9986.63631,9991.635394944940106154372,-0.0008364605055059893845628,0,0,9991.635394944940106154372,[],,0,cash-USD,cash,-8.364605055059893845628,yearn-usdc-v2,complete,26.4053122906367007492012
hold-USD,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,9986.63631,9986.63631,10061.93425338937474864428,0.006193425338937474864428,0,0,10061.93425338937474864428,[],,0,yearn-usdc-v2,USD,-0.384359332375220826204,yearn-usdc-v2,complete,-0.384359332375220826204
hold-BTC,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,0.21530188,0.21530188,8295.1228361937413489060,-0.1704877163806258651094,0,0,8295.1228361937413489060,[],,0,cash-USD,cash,-1704.8771638062586510940,yearn-wbtc-v2,complete,70.1438400611008389700
hold-BTC,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,0.21530188,0.21530188,9301.6758348951097052312,-0.06983241651048902947688,0,0,9301.6758348951097052312,[],,0,cash-USD,cash,-698.3241651048902947688,yearn-wbtc-v2,complete,41.0864351753156929274
hold-BTC,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,0.21530188,0.21530188,9809.7767644283970023136,-0.01902232355716029976864,0,0,9809.7767644283970023136,[],,0,yearn-usdc-v2,USD,-252.541848293352967156884,yearn-wbtc-v2,complete,28.5369518514970403904
hold-ETH,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,2.707209549056973607,2.707209549056973607,7265.7556287922677588906870054699586,-0.27342443712077322411093129945300414,0,0,7265.7556287922677588906870054699586,[],,0,cash-USD,cash,-2734.2443712077322411093129945300414,yearn-weth-v2,complete,80.8635813728042891608688016112036
hold-ETH,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,2.707209549056973607,2.707209549056973607,7903.143198792660304114561205608406,-0.2096856801207339695885438794391594,0,0,7903.143198792660304114561205608406,[],,0,cash-USD,cash,-2096.856801207339695885438794391594,yearn-weth-v2,complete,58.177456609379857751716800492284
hold-ETH,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,2.707209549056973607,2.707209549056973607,8888.5888078560811382633736693435999,-0.11114111921439188617366263306564001,0,0,8888.5888078560811382633736693435999,[],,0,yearn-usdc-v2,USD,-1173.7298048656688312071103306564001,yearn-weth-v2,complete,36.3312216421189368325743364337118
hold-CRV,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,1868.0817199810281463,1868.0817199810281463,6156.4066693132905555826059422525484,-0.38435933306867094444173940577474516,0,0,6156.4066693132905555826059422525484,[],,0,cash-USD,cash,-3843.5933306867094444173940577474516,,not in catalog,
