strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
hold-USD,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,9986.63631,9986.63631,9997.566075183524558702835,-0.0002433924816475441297165,0,0,9997.566075183524558702835,[],
hold-USD,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,9986.63631,9986.63631,9991.635394944940106154372,-0.0008364605055059893845628,0,0,9991.635394944940106154372,[],
hold-USD,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,9986.63631,9986.63631,10061.93425338937474864428,0.006193425338937474864428,0,0,10061.93425338937474864428,[],
hold-BTC,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,0.21530188,0.21530188,8295.1228361937413489060,-0.1704877163806258651094,0,0,8295.1228361937413489060,[],
hold-BTC,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,0.21530188,0.21530188,9301.6758348951097052312,-0.06983241651048902947688,0,0,9301.6758348951097052312,[],
hold-BTC,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,0.21530188,0.21530188,9809.7767644283970023136,-0.01902232355716029976864,0,0,9809.7767644283970023136,[],
hold-ETH,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,2.707209549056973607,2.707209549056973607,7265.7556287922677588906870054699586,-0.27342443712077322411093129945300414,0,0,7265.7556287922677588906870054699586,[],
hold-ETH,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,2.707209549056973607,2.707209549056973607,7903.143198792660304114561205608406,-0.2096856801207339695885438794391594,0,0,7903.143198792660304114561205608406,[],
hold-ETH,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,2.707209549056973607,2.707209549056973607,8888.5888078560811382633736693435999,-0.11114111921439188617366263306564001,0,0,8888.5888078560811382633736693435999,[],
hold-CRV,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,1868.0817199810281463,1868.0817199810281463,6156.4066693132905555826059422525484,-0.38435933306867094444173940577474516,0,0,6156.4066693132905555826059422525484,[],
hold-CRV,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,1868.0817199810281463,1868.0817199810281463,4504.34600693849184709579775400128108,-0.549565399306150815290420224599871892,0,0,4504.34600693849184709579775400128108,[],
hold-CRV,CRV,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,1868.0817199810281463,1868.0817199810281463,4911.5332444551666884115720569408547,-0.50884667555448333115884279430591453,0,0,4911.5332444551666884115720569408547,[],
cash-USD,cash,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,10000,10000,10000,0,0,0,10000,[],
cash-USD,cash,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,10000,10000,10000,0,0,0,10000,[],
cash-USD,cash,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,10000,10000,10000,0,0,0,10000,[],
curve-3pool-lp,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,9986.63631,9851.502916,9862.2847859143843624379060,-0.0137715214085615637562094,-135.2812892691401962649290,135.934714878525992946782689138628,,[],
curve-3pool-lp,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,9986.63631,9875.755612,9880.6991925678055141228944,-0.01193008074321944858771056,-110.9362023771345920314776,113.272086172706394306521866816374,,[],
curve-3pool-lp,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,9986.63631,9897.45329,9972.07880497776540708052,-0.002792119502223459291948,-89.85544841160934156376,93.8795559690644648304901888212174,,[],
