strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note,token_return_fraction,best_strategy,best_asset,versus_best_usd,single_vault_strategy,single_vault_status,versus_single_vault_usd
hold-USD,USD,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1000413.170639,1000413.170639,1000123.05081951469,0.00012305081951469,0,0,1000123.05081951469,[],,0,hold-BTC,BTC,-181069.44662496531,,not selected,
hold-USD,USD,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1000413.170639,1000413.170639,1000192.079328288781,0.000192079328288781,0,0,1000192.079328288781,[],,0,hold-BTC,BTC,-688746.213942111219,,not selected,
hold-BTC,BTC,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,23.65128544,23.65128544,1181192.49744448,0.18119249744448,0,0,1181192.49744448,[],,0,hold-BTC,BTC,0.00000000,,not selected,
hold-BTC,BTC,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,23.65128544,23.65128544,1688938.29327040,0.6889382932704,0,0,1688938.29327040,[],,0,hold-BTC,BTC,0.00000000,,not selected,
hold-ETH,ETH,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,400.442088065224007304,400.442088065224007304,1064371.06565648475917395896,0.06437106565648475917395896,0,0,1064371.06565648475917395896,[],,0,hold-BTC,BTC,-116821.43178799524082604104,,not selected,
hold-ETH,ETH,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,400.442088065224007304,400.442088065224007304,1593078.7589498806682575032,0.5930787589498806682575032,0,0,1593078.7589498806682575032,[],,0,hold-BTC,BTC,-95859.5343205193317424968,,not selected,
hold-CRV,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1836449.482029423593601075,1836449.482029423593601075,959032.484954887618473946987575,-0.040967515045112381526053012425,0,0,959032.484954887618473946987575,[],,0,hold-BTC,BTC,-222160.012489592381526053012425,,not in catalog,
hold-CRV,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1836449.482029423593601075,1836449.482029423593601075,1523202.620980700752393352435100,0.5232026209807007523933524351,0,0,1523202.620980700752393352435100,[],,0,hold-BTC,BTC,-165735.672289699247606647564900,,not in catalog,
cash-USD,cash,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1000000,1000000,1000000,0,0,0,1000000,[],,0,hold-BTC,BTC,-181192.49744448,,not in catalog,
cash-USD,cash,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1000000,1000000,1000000,0,0,0,1000000,[],,0,hold-BTC,BTC,-688938.29327040,,not in catalog,
curve-crv-cvxcrv-v2-gauge,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1836449.482029423593601075,1818319.076564626411462167,949564.406482655769220184312907,-0.050435593517344230779815687093,-9468.078472231849253762674668,244.36341962648066341860,,[],,-0.0098725315573405447929174366157633625018015242216260251414598307292375905676402658481953434408856381,hold-BTC,BTC,-231628.090961824230779815687093,,not in catalog,
curve-crv-cvxcrv-v2-gauge,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1836449.482029423593601075,1714460.12710891274244501,1422021.23430769127814067975428,0.42202123430769127814067975428,-101181.386673009474252672680820,258.79792502018247825010,,[],,-0.0664267414455108532691609337511659648827981324886529999884668265132779979376552223320886431840328729,hold-BTC,BTC,-266917.05896270872185932024572,,not in catalog,
