strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
hold-USD,USD,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1000413.170639,1000413.170639,1000123.05081951469,0.00012305081951469,0,0,1000123.05081951469,[],
hold-USD,USD,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1000413.170639,1000413.170639,1000192.079328288781,0.000192079328288781,0,0,1000192.079328288781,[],
hold-BTC,BTC,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,23.65128544,23.65128544,1181192.49744448,0.18119249744448,0,0,1181192.49744448,[],
hold-BTC,BTC,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,23.65128544,23.65128544,1688938.29327040,0.6889382932704,0,0,1688938.29327040,[],
hold-ETH,ETH,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,400.442088065224007304,400.442088065224007304,1064371.06565648475917395896,0.06437106565648475917395896,0,0,1064371.06565648475917395896,[],
hold-ETH,ETH,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,400.442088065224007304,400.442088065224007304,1593078.7589498806682575032,0.5930787589498806682575032,0,0,1593078.7589498806682575032,[],
hold-CRV,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1836449.482029423593601075,1836449.482029423593601075,959032.484954887618473946987575,-0.040967515045112381526053012425,0,0,959032.484954887618473946987575,[],
hold-CRV,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1836449.482029423593601075,1836449.482029423593601075,1523202.620980700752393352435100,0.5232026209807007523933524351,0,0,1523202.620980700752393352435100,[],
cash-USD,cash,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1000000,1000000,1000000,0,0,0,1000000,[],
cash-USD,cash,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1000000,1000000,1000000,0,0,0,1000000,[],
curve-crv-cvxcrv-v2-gauge,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,1836449.482029423593601075,1818308.727865790069009678,949559.002174800755628303054838,-0.050440997825199244371696945162,-9473.482780086862845643932737,249.80942502880572065860,,[],
curve-crv-cvxcrv-v2-gauge,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,1836449.482029423593601075,1714445.784533467116373509,1422009.338174024563399446822852,0.422009338174024563399446822852,-101193.282806676188993905612248,269.58118846776165613210,,[],
