strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
hold-USD,USD,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,10004.131706,10004.131706,10001.23050780526,0.000123050780526,0,0,10001.23050780526,[],
hold-USD,USD,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,10004.131706,10004.131706,10001.920792892974,0.0001920792892974,0,0,10001.920792892974,[],
hold-BTC,BTC,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,0.23651285,0.23651285,11811.92475470,0.18119247547,0,0,11811.92475470,[],
hold-BTC,BTC,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,0.23651285,0.23651285,16889.38261850,0.68893826185,0,0,16889.38261850,[],
hold-ETH,ETH,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,4.004420880652240073,4.004420880652240073,10643.71065656484759163327,0.064371065656484759163327,0,0,10643.71065656484759163327,[],
hold-ETH,ETH,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,4.004420880652240073,4.004420880652240073,15930.7875894988066824159,0.59307875894988066824159,0,0,15930.7875894988066824159,[],
hold-CRV,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,18364.49482029423593601,18364.49482029423593601,9590.32484954887618473907821,-0.040967515045112381526092179,0,0,9590.32484954887618473907821,[],
hold-CRV,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,18364.49482029423593601,18364.49482029423593601,15232.02620980700752393290228,0.523202620980700752393290228,0,0,15232.02620980700752393290228,[],
cash-USD,cash,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,10000,10000,10000,0,0,0,10000,[],
cash-USD,cash,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,10000,10000,10000,0,0,0,10000,[],
curve-crv-cvxcrv-v2-gauge,CRV,2024-02-13T00:00:00+00:00,19215377,0xd7b322fd23633934d1783514cf6e9d41c96181b32b208271057ce8df6cc3b63a,2024-02-12T23:59:59+00:00,complete,18364.49482029423593601,18119.895748084397024141,9462.590077460381898343937161,-0.0537409922539618101656062839,-127.734772088494286395141049,136.17351745025266598552,,[],compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-crv-cvxcrv-v2-gauge,CRV,2024-03-13T00:00:00+00:00,19422438,0x05c9e3334c1e672705cc80d0417c9c713a5a3b80c903e7bc953e5edc648f3721,2024-03-12T23:59:59+00:00,complete,18364.49482029423593601,17430.44770485654419615,14457.30137894375373952430220,0.44573013789437537395243022,-774.72483086325378440860008,146.60857942537931232618,,[],
