strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
hold-USD,USD,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,10001.156282,10001.156282,10000.011210804296464156582,0.0000011210804296464156582,0,0,10000.011210804296464156582,[],
hold-USD,USD,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,10001.156282,10001.156282,9999.0970866396040422226378,-0.00009029133603959577773622,0,0,9999.0970866396040422226378,[],
hold-BTC,BTC,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,0.15899771,0.15899771,12480.3871461855271073487,0.24803871461855271073487,0,0,12480.3871461855271073487,[],
hold-BTC,BTC,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,0.15899771,0.15899771,12405.0493827734403185678,0.24050493827734403185678,0,0,12405.0493827734403185678,[],
hold-ETH,ETH,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,5.375218944373892219,5.375218944373892219,13267.3183357216607641999538440606763,0.32673183357216607641999538440606763,0,0,13267.3183357216607641999538440606763,[],
hold-ETH,ETH,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,5.375218944373892219,5.375218944373892219,13278.8581091042107960209312217821335,0.32788581091042107960209312217821335,0,0,13278.8581091042107960209312217821335,[],
hold-CRV,CRV,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,48051.542566343761215127,48051.542566343761215127,16254.08189957178527246707785813538114245,0.625408189957178527246707785813538114245,0,0,16254.08189957178527246707785813538114245,[],
hold-CRV,CRV,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,48051.542566343761215127,48051.542566343761215127,16181.6430278027912965171001634407017662,0.61816430278027912965171001634407017662,0,0,16181.6430278027912965171001634407017662,[],
cash-USD,cash,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,10000,10000,10000,0,0,0,10000,[],
cash-USD,cash,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,10000,10000,10000,0,0,0,10000,[],
yearn-usd-v3,USD,2026-09-01T00:00:00+00:00,25878704,0x1d63bf12e101c849b9e8bceca81a71d801735fca65ff9f1f12284e9d77c20547,2026-08-31T23:59:59+00:00,complete,10001.156282,10050.528658,10049.377933969361488129358,0.0049377933969361488129358,49.366723165065023972776,0.2173514175531098198571309275252,,[],
yearn-usd-v3,USD,2026-09-10T09:07:35+00:00,25945987,0x8fcee4c0b8ba86cf0a0307792591db43bccf013bc234c10cb665df2e97eb3263,2026-09-10T09:07:35+00:00,complete,10001.156282,10066.233726,10064.1611314718505682788654,0.00641611314718505682788654,65.0640448322465260562276,0.3688507179445616629053562507876,,[],
